"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-01","8.05",,,"0.11","0.0",,,"53","31","  180","  170","21.9","28.0",,"    1",,,,,,,,"    1",,,"    1",,,"    1"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-02","11.63",,,"0.00","0.0",,,"48","31","  260","  280","25.1","31.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-03","12.30",,,"0.00","0.0",,,"32","11","  310","  330","23.9","33.1",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-04","6.71",,,"0.00","0.0",,,"26","7","  320","  300","16.1","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-05","6.93",,,"0.00","0.0",,,"38","23","  310","  300","23.0","31.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-06","6.71",,,"0.00","0.0",,,"52","27","  220","  210","19.9","23.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-07","5.59",,,"0.00","0.0",,,"61","25","  270","  280","23.0","30.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-08","8.05",,,"0.00","0.0",,,"43","26","  310","  290","19.9","25.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-09","4.70",,,"0.00","0.0",,,"42","21","  170","  190","14.1","17.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-10","7.16",,,"0.00","0.0",,,"46","26","  290","  280","19.9","32.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-11","5.59",,,"0.00","0.0",,,"45","27","  320","  330","14.1","17.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-12","9.40",,,"0.96","0.0",,,"38","33","   10","  350","19.9","25.1","    1",,,,,,,,,"    1","    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-13","13.42",,,"0.03","0.0",,,"45","28","  250","  270","34.9","45.0",,,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-14","10.74",,,"0.00","0.0",,,"34","16","  300","  310","23.0","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-15","9.62",,,"0.00","0.0",,,"19","5","  320","  330","17.9","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-16","6.04",,,"0.20","2.3",,,"34","4","  190","  190","21.0","28.0",,"    1",,"    1",,,,,,,,,,,"    1","    1"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-17","8.05",,,"0.05","0.0",,,"43","31","  200","  190","14.1","17.0",,,,"    1",,,,,,,"    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-18","15.21",,,"0.00","0.0",,,"48","18","  320","  310","31.1","42.9","    1",,,,,,,,,"    1",,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-19","3.58",,,"0.13","1.7",,,"30","11","  160","  160","13.0","15.0","    1",,,,,,,,,"    1",,,,,"    1","    1"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-20","8.50",,,"0.00","0.0",,,"28","17","  290","  300","21.9","28.0",,"    1",,,,,,,,"    1",,,,,"    1","    1"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-21","8.28",,,"0.22","2.8",,,"21","14","  360","   10","17.9","21.9","    1",,,,,,,,,"    1",,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-22","3.58",,,"0.00","0.0",,,"29","5","  350","  360","12.1","14.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-23","2.46",,,"0.21","0.0",,,"34","26","  360","   20","8.1","10.1",,,,,,,,,,"    1","    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-24","7.16",,,"0.00","0.0",,,"54","33","  320","  310","15.0","19.9",,"    1",,,,,,,,"    1","    1",,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-25","9.40",,,"0.00","0.0",,,"39","33","  290","  300","21.0","25.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-26","1.79",,,"0.28","0.0",,,"39","31","   30","  360","6.9","8.1","    1",,,,,,,,,"    1",,,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-27","9.17",,,"0.77","0.0",,,"44","34","  300","  300","32.0","44.1","    1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-28","10.29",,,"0.00","0.0",,,"46","35","  300","  280","29.1","36.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-29","10.29",,,"0.00","0.0",,,"42","29","  260","  270","21.0","25.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-30","10.29",,,"0.00","0.0",,,"38","24","  290","  280","29.1","36.9",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-01-31","5.37",,,"0.00","0.0",,,"56","29","  200","  210","17.0","21.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-01","9.17",,,"0.00","0.0",,,"62","38","  250","  260","21.0","29.1",,,,,,,"    1",,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-02","8.50",,,"0.00","0.0",,,"44","33","  350","  350","16.1","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-03","7.38",,,"0.00","0.0",,,"41","24","  320","  310","17.0","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-04","7.61",,,"0.00","0.0",,,"43","26","  320","  320","23.0","29.1",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-05","5.14",,,"0.00","0.0",,,"38","21","  290","  280","12.1","14.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-06","8.28",,,"0.00","0.0",,,"53","22","  250","  240","16.1","19.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-07","10.29",,,"0.00","0.0",,,"48","28","  300","  300","25.9","33.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-08","4.03",,,"0.00","0.0",,,"38","20","  160","  180","12.1","14.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-09","4.47",,,"0.00","0.0",,,"47","24","  310","  320","17.9","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-10","5.82",,,"0.00","0.0",,,"51","20","  220","  210","19.9","25.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-11","8.72",,,"0.00","0.0",,,"41","27","  350","  330","23.0","28.0","    1",,,,,,,,,"    1",,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-12","15.66",,,"0.00","0.0",,,"29","14","  300","  300","28.0","36.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-13","8.05",,,"0.00","0.0",,,"45","20","  290","  290","23.9","32.0",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-14","4.25",,,"0.00","0.0",,,"44","25","  180","  160","12.1","14.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-15","2.91",,,"0.00","0.0",,,"49","32","  310","  310","14.1","17.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-16","2.68",,,"0.13","0.0",,,"41","24","  190","  200","12.1","15.0","    1",,,,,,,,,"    1","    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-17","7.83",,,"0.01","0.0",,,"51","34","  320","  320","15.0","19.0","    1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-18","7.61",,,"0.00","0.0",,,"47","31","  250","  250","19.9","23.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-19","6.49",,,"0.00","0.0",,,"46","28","  330","  330","13.0","19.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-20","8.05",,,"0.00","0.0",,,"43","22","  320","  340","21.0","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-21","7.16",,,"0.02","0.0",,,"44","17","  180","  160","23.9","31.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-22","9.84",,,"0.00","0.0",,,"57","38","  250","  250","19.0","23.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-23","6.26",,,"0.00","0.0",,,"52","31","  300","  300","25.9","33.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-24","4.47",,,"0.72","1.5",,,"36","29","  300","  310","17.9","23.0","    1",,,,,,,,,"    1","    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-25","17.67",,,"0.00","0.0",,,"44","30","  290","  300","38.0","46.1",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-26","11.18",,,"0.00","0.0",,,"40","25","  290","  290","32.0","40.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-27","8.05",,,"0.00","0.0",,,"53","19","  170","  160","21.9","30.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-28","12.30",,,"0.00","0.0",,,"46","32","  300","  290","33.1","44.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-02-29","4.70",,,"0.59","4.4",,,"37","29","   10","  360","15.0","17.9","    1","    1",,"    1",,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-01","11.18",,,"0.51","1.1",,,"34","27","  360","  360","17.9","23.0",,,,"    1",,,,,,"    1",,,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-02","4.92",,,"0.09","0.3",,,"34","26","  360","  360","13.0","16.1",,,,"    1",,,,,,"    1",,,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-03","5.82",,,"0.32","0.0",,,"48","32","  250","  260","21.9","25.9",,,,,,,,,,"    1","    1",,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-04","4.25",,,"0.00","0.0",,,"42","27","  310","  320","17.0","21.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-05","10.29",,,"0.00","0.0",,,"37","21","  290","  320","19.9","25.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-06","5.37",,,"0.00","0.0",,,"41","15","  260","  250","13.0","19.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-07","12.30",,,"0.00","0.0",,,"60","32","  200","  190","21.9","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-08","15.66",,,"0.00","0.0",,,"68","43","  200","  200","29.1","40.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-09","12.75",,,"0.01","0.0",,,"59","32","  330","  290","29.1","36.0","    1",,,"    1",,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-10","8.28",,,"0.00","0.0",,,"43","27","  290","  280","23.9","32.0",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-11","9.84",,,"0.00","0.0",,,"60","27","  210","  240","17.0","23.0",,,,,,,,,,,,,,,,
