STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/1/2012,8.05,,,0.11,0,,,53,31,180,170,21.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/2/2012,11.63,,,0,0,,,48,31,260,280,25.1,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/3/2012,12.3,,,0,0,,,32,11,310,330,23.9,33.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/4/2012,6.71,,,0,0,,,26,7,320,300,16.1,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/5/2012,6.93,,,0,0,,,38,23,310,300,23,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/6/2012,6.71,,,0,0,,,52,27,220,210,19.9,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/7/2012,5.59,,,0,0,,,61,25,270,280,23,30
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/8/2012,8.05,,,0,0,,,43,26,310,290,19.9,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/9/2012,4.7,,,0,0,,,42,21,170,190,14.1,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/10/2012,7.16,,,0,0,,,46,26,290,280,19.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/11/2012,5.59,,,0,0,,,45,27,320,330,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/12/2012,9.4,,,0.96,0,,,38,33,10,350,19.9,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/13/2012,13.42,,,0.03,0,,,45,28,250,270,34.9,45
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/14/2012,10.74,,,0,0,,,34,16,300,310,23,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/15/2012,9.62,,,0,0,,,19,5,320,330,17.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/16/2012,6.04,,,0.2,2.3,,,34,4,190,190,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/17/2012,8.05,,,0.05,0,,,43,31,200,190,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/18/2012,15.21,,,0,0,,,48,18,320,310,31.1,42.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/19/2012,3.58,,,0.13,1.7,,,30,11,160,160,13,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/20/2012,8.5,,,0,0,,,28,17,290,300,21.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/21/2012,8.28,,,0.22,2.8,,,21,14,360,10,17.9,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/22/2012,3.58,,,0,0,,,29,5,350,360,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/23/2012,2.46,,,0.21,0,,,34,26,360,20,8.1,10.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/24/2012,7.16,,,0,0,,,54,33,320,310,15,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/25/2012,9.4,,,0,0,,,39,33,290,300,21,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/26/2012,1.79,,,0.28,0,,,39,31,30,360,6.9,8.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/27/2012,9.17,,,0.77,0,,,44,34,300,300,32,44.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/28/2012,10.29,,,0,0,,,46,35,300,280,29.1,36.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/29/2012,10.29,,,0,0,,,42,29,260,270,21,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/30/2012,10.29,,,0,0,,,38,24,290,280,29.1,36.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,1/31/2012,5.37,,,0,0,,,56,29,200,210,17,21
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/1/2012,9.17,,,0,0,,,62,38,250,260,21,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/2/2012,8.5,,,0,0,,,44,33,350,350,16.1,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/3/2012,7.38,,,0,0,,,41,24,320,310,17,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/4/2012,7.61,,,0,0,,,43,26,320,320,23,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/5/2012,5.14,,,0,0,,,38,21,290,280,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/6/2012,8.28,,,0,0,,,53,22,250,240,16.1,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/7/2012,10.29,,,0,0,,,48,28,300,300,25.9,33.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/8/2012,4.03,,,0,0,,,38,20,160,180,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/9/2012,4.47,,,0,0,,,47,24,310,320,17.9,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/10/2012,5.82,,,0,0,,,51,20,220,210,19.9,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/11/2012,8.72,,,0,0,,,41,27,350,330,23,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/12/2012,15.66,,,0,0,,,29,14,300,300,28,36.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/13/2012,8.05,,,0,0,,,45,20,290,290,23.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/14/2012,4.25,,,0,0,,,44,25,180,160,12.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/15/2012,2.91,,,0,0,,,49,32,310,310,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/16/2012,2.68,,,0.13,0,,,41,24,190,200,12.1,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/17/2012,7.83,,,0.01,0,,,51,34,320,320,15,19
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/18/2012,7.61,,,0,0,,,47,31,250,250,19.9,23.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/19/2012,6.49,,,0,0,,,46,28,330,330,13,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/20/2012,8.05,,,0,0,,,43,22,320,340,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,2/21/2012,7.16,,,0.02,0,,,44,17,180,160,23.9,31.1
